Region,Country,CountryID,Industry,Edition,Category,ParentID,Subcategory,ProductID,Lowest Level,Modelled,Hierarchy Level,Data Type,DataTypeID,Unit,Unit Multiplier,Current/Constant,Currency Conversion,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Asia Pacific,Singapore,352,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",27448.59268,29836.62025,32641.26255,35905.3888,39747.26541,42609.06852,46230.83934,50299.1532,49947.05913,50596.3709,56060.77896,62283.52542,68636.44501,75500.08951,80558.59551,86278.25579,96200.25521,106686.083,114154.1088,122715.667,132901.0674,129977.2439,137905.8558,150179.4769,148677.6821,154922.1448,161738.7192,177103.8975,190386.6898,207331.1052,226198.2358,230269.804,228888.1852,263679.1893,279763.6199,286757.7104,297941.2611,308719.7038,321333.2536,333887.8748,346585.5614,359741.5247,373026.8485,386128.8738,399633.7138,413623.4864,428099.6135,443083.2852,458591.1503,474641.8543,491254.3157,508448.2179,526243.9056,544662.4409
Asia Pacific,South Korea,280,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",142102.2477,155317.7567,165879.3642,162742.5854,174792.0465,189284.055,212342.6386,233277.4993,250705.6613,281392.0343,315907.5812,352742.4052,376559.5724,411568.3158,451543.9463,477575.4548,507801.2054,552345.5271,601675.5061,644911.908,682103.9777,643128.5564,712142.6818,774796.995,809859.0344,870051.2695,895571.6747,939453.3569,976314.5703,1027153.993,1083271.587,1113919.663,1121800.851,1194681.842,1238666.499,1267061.472,1304707.264,1350994.844,1399917.414,1452115.711,1505768.21,1559752.059,1609637.91,1655065.686,1701334.839,1748991.695,1797958.242,1848302.466,1900054.561,1953256.188,2007947.342,2064169.878,2121966.629,2181381.689
Asia Pacific,Taiwan,373,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",,,75726.04269,81272.21806,86519.15246,89957.42357,97441.88122,106523.4645,110855.7738,123054.3432,136195.3165,143784.1195,158568.0027,169463.2102,182825.3843,196641.4986,209879.4043,225811.3499,240215.8559,253514.2057,267396.6436,276664.6112,293184.2552,310176.8397,305057.0391,321113.8857,332896.465,353502.6871,370129.0024,390253.8248,413602.301,416620.6833,409020.3352,453033.3558,472017.4169,479000.662,489087.8158,505576.3735,523093.1403,542322.5672,562281.4627,582018.415,601787.2466,621684.3174,642191.8553,663386.3426,685277.5148,707891.827,731252.2148,755383.547,780311.2003,806061.4719,832661.5004,860139.3279
Asia Pacific,Thailand,364,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",57792.47191,63802.88898,67184.4421,70275.59828,74428.88614,78413.06441,82789.29754,87557.96108,91623.27721,96693.70937,105897.9836,119969.7076,134598.8138,150243.2339,162430.965,175560.2599,190045.737,207125.1474,226257.2972,239608.7403,236323.7045,211486.0832,220892.9841,231385.4009,236390.655,248946.2528,266662.6931,283579.9703,296660.9796,311798.4057,327510.0164,335646.349,327826.2973,353431.2109,353610.306,376560.8749,387373.936,388652.5393,404115.9227,421652.809,440723.2042,460482.4164,480289.2479,500031.8316,520522.9698,541867.1339,564082.9549,587210.5506,611286.1362,636348.877,662439.173,689599.1824,717872.7489,747305.5298
Asia Pacific,Uzbekistan,383,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",,,,,,,,,,,,,,23044.20754,22930.83005,20362.57707,19895.31023,18860.94869,18691.19967,19008.95104,19997.41569,20877.30159,21795.90256,22667.73877,23687.78701,24682.67409,25768.71173,27752.90254,29695.60573,31863.38492,34890.40651,38030.54309,41111.01708,44605.45354,48307.70618,52268.93809,56450.45313,60401.98485,64328.11387,68187.8007,71938.12974,75894.72687,80068.93685,84472.72838,89118.72844,94020.2585,99191.37272,104646.8982,110402.4776,116474.6139,122880.7177,129639.1571,136769.3108,144291.6229
Asia Pacific,Vietnam,387,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",19512.55587,19863.78188,21194.65527,20453.47817,21639.1663,23402.75835,25062.716,27167.23227,28693.75905,29657.00854,30412.96569,31964.02694,34457.22104,36196.27699,38298.91872,41630.92464,44993.87074,48968.62928,53640.23651,58650.2346,63431.40172,67088.22203,70291.01375,75061.66486,80237.16665,85917.95805,92225.19535,99408.61581,106910.984,114371.2325,122525.9014,129460.8674,136499.9423,145263.2386,154327.6646,162429.867,171233.5658,180190.5394,190770.6572,201843.0682,213746.1803,226359.3601,239713.9834,253857.2636,268834.8022,284696.069,301493.1356,319281.2299,338118.8192,358067.8262,379193.8243,401566.2562,425258.6623,450348.9191
Australasia,Australia,170,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",474964.5043,494913.0135,510255.3169,525022.1058,546689.7681,547034.1826,544441.2406,578991.4817,610581.257,625528.2862,656135.3852,684040.8231,716354.9116,732551.6962,723651.1931,743262.1404,773334.5266,809665.7826,833761.4363,869488.1139,904832.8057,950020.156,989616.9961,1020176.369,1047277.34,1086945.765,1122446.95,1165157.056,1203579.293,1234963.74,1292828.39,1325437.686,1346076.825,1376393.529,1411853.048,1463208.446,1498337.265,1545625.247,1592228.419,1642233.467,1694527.234,1745468.404,1796160.018,1848235.367,1901837.76,1956990.099,2013743.071,2072141.55,2132233.676,2194068.447,2257696.432,2323169.629,2390541.548,2459867.247
Australasia,New Zealand,327,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",77956.66003,77488.92007,77411.43115,78192.51249,80507.79278,82824.80706,82722.1043,88395.18621,89467.41982,91086.78012,93349.37573,93956.14668,94409.0153,94417.51211,93191.02863,93888.09753,98792.81174,104506.988,108888.966,113383.9025,116101.7146,116294.4435,121703.298,126666.3585,129852.0175,136197.8856,141931.8165,148208.0415,153017.3924,157300.3492,162673.7292,161294.2559,159044.2011,162334.8256,165363.9934,169625.4235,173550.3498,178337.5697,183994.5685,188430.9843,193057.2703,197667.7289,202417.8944,207274.2787,212249.3019,217343.1668,222559.4343,227900.8524,233370.4751,238971.3665,244706.6793,250579.6396,256593.551,262751.7962
Eastern Europe,Belarus,179,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",,,,,,,,,,,,,,37012.77942,36494.60051,32991.11886,30483.79383,26917.18995,23933.68862,24572.95744,27368.37708,29705.63648,30678.79313,32435.46083,33964.7928,35677.97695,38166.15907,42531.60434,46532.12704,51177.89461,55624.23009,61349.6321,61437.36207,66193.22827,69862.98084,71072.30904,71711.95982,72841.42319,74660.27353,76707.45823,78755.54736,80926.8378,83178.22243,85497.00681,87905.59657,90395.26182,92966.78481,95624.71466,98368.63914,101200.4649,104122.424,107136.1121,110243.6963,113447.4285
Eastern Europe,Bosnia-Herzegovina,183,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",,,,,,,,,,,,,,3855.657928,3495.230079,3270.245305,3198.909894,3555.011438,4294.453859,6622.017819,9048.3999,10551.91587,11556.62396,12182.3362,12509.9128,13140.54031,13652.81459,14514.92197,15076.35916,15935.71163,16891.85432,17837.79817,17352.87417,17498.98785,17666.58675,17452.99573,17826.01386,18182.53414,18764.37523,19458.65712,20237.0034,21046.48354,21888.34288,22765.75391,23678.98748,24629.75745,25619.95501,26650.96551,27724.60461,28842.72192,30007.14482,31219.86733,32482.94666,33798.51438
Eastern Europe,Bulgaria,184,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",25644.90523,27079.30401,28875.65388,30524.54219,32020.2941,32767.82886,33891.86573,35042.98382,35983.34149,37497.37733,39767.66123,44120.10922,42668.60969,38778.3516,35503.38206,32928.61446,32441.15842,33030.97991,33975.74216,30917.92536,30423.23856,31913.97725,32552.25679,34407.73543,35836.35732,37502.70612,39567.40132,42237.52778,44923.10085,47847.78222,50933.08309,54086.19829,51124.21904,51325.02481,52269.90448,52576.45037,53029.29939,53878.54138,55236.66771,57035.32303,58865.51582,60688.33376,62512.82989,64387.40259,66319.24214,68308.76104,70358.03941,72468.77637,74642.84075,76882.1256,79188.58937,81564.24705,84011.17446,86531.5097
Eastern Europe,Croatia,204,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",,,,,,,,,,,,,,54499.69948,43000.26289,37969.23213,34931.69356,36992.66348,39446.75677,41774.11542,44489.43293,45379.22158,44925.42937,46632.59568,48337.4878,50695.5641,53418.41714,55623.75479,58004.34655,60867.03112,63946.85904,65279.69616,60744.60981,59347.48379,59208.13678,57910.67058,57382.49201,57224.7857,57863.64403,59145.73819,60632.66826,62203.37663,63821.98485,65481.00272,67183.60341,68930.35174,70722.5476,72561.33207,74447.92725,76383.57317,78369.54607,80407.15427,82497.74028,84642.68153
Eastern Europe,Czech Republic,205,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",102229.8284,106421.2514,109613.889,113450.3751,113677.2758,113905.7671,116525.5998,120603.9958,124945.7396,127548.3594,128272.8341,130902.4272,136833.6161,135169.7194,119469.8344,118864.6691,118938.2514,122387.4606,129975.4832,135875.9547,134717.5748,134399.6748,136656.6346,142376.6023,146786.5041,149941.3851,155588.4424,162967.3643,173971.6565,186185.1268,196863.0944,202963.8797,193816.0139,198646.7672,202259.3908,200194.0736,198447.3494,202779.193,208234.4034,214160.3641,219712.4335,225222.2957,230849.0778,236621.3158,242536.5772,248600.0644,254815.0467,261185.428,267715.0617,274407.939,281268.1374,288299.8409,295507.3369,302895.0203
Eastern Europe,Estonia,237,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",,,,,,,,,,,,,,15247.24031,14027.46109,11053.63934,10423.58189,10256.80458,10923.49688,11567.9832,12921.43723,13800.09496,13758.69468,15093.28806,16041.30474,17093.94875,18421.27011,19589.56774,21324.37211,23477.44076,25236.25795,24188.75955,20784.57352,21317.91352,23354.94879,24275.05833,24476.53143,24570.73584,25266.63596,26148.70667,27192.69358,28254.27812,29321.76155,30326.43843,31355.88667,32422.42932,33524.67334,34664.54399,35843.13,37061.79866,38321.89916,39624.84393,40972.08852,42365.13943
Eastern Europe,Georgia,248,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",,,,,,,,,,,,,,20116.75672,15872.12106,8745.538702,6183.095862,5540.053893,5684.095294,6280.9253,6944.567867,7144.43253,7355.907733,7498.391666,7850.816074,8282.610958,9201.980774,9740.677555,10676.77756,11678.53283,13120.54497,13436.93642,12926.81231,13738.13466,14719.34794,15633.1234,16127.0328,17008.7321,17962.43871,18861.63839,19801.51383,20793.9657,21836.15926,22930.58756,24080.97692,25289.27339,26558.43548,27891.58266,29291.78161,30762.39517,32306.94381,33929.10854,35632.77775,37422.03387
Eastern Europe,Hungary,261,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",85997.74295,89953.63913,91302.94372,91499.24504,94122.5284,96796.54943,97496.38848,100087.8425,99834.62025,101367.0817,105473.4621,105404.9044,106180.6845,102467.546,90282.10539,87515.86168,87011.77032,89576.00719,91852.13353,91999.90583,94876.91131,98741.68358,101899.1424,106204.6229,110147.155,115110.5046,119542.7462,125277.4353,130243.9753,135319.7932,135475.0036,136686.3559,127393.5635,128736.2898,130859.485,128595.2856,129988.6542,133437.2636,136435.3454,139955.9384,143725.626,147462.3231,151156.9632,154934.2532,158808.0473,162778.1313,166847.6163,171018.7988,175294.2714,179676.6277,184168.5434,188772.757,193492.0759,198329.3778
Eastern Europe,Latvia,285,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",,,,,,,,,,,,,,26847.52149,23464.73378,15932.55424,14116.24305,14426.8004,14340.2396,14913.84918,16345.5787,17260.93111,17761.49811,18773.90351,20144.39846,21580.44188,23232.54835,25283.35683,27836.72081,30895.42564,33981.1881,33039.74207,27191.71488,26836.38466,28260.49089,29734.7333,30956.80825,31972.7823,33254.56267,34589.84651,35937.31854,37303.97622,38681.07246,40039.83487,41440.18726,42890.87301,44391.97873,45945.71807,47553.81292,49218.1978,50940.83435,52723.76368,54569.09541,56479.01361
Eastern Europe,Lithuania,295,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",,,,,,,,,,,,,,37038.46729,34927.27465,27487.76515,23034.7472,20784.94344,21040.59824,22134.70935,23927.62081,25746.11999,25488.65879,26406.25051,28174.19458,30087.15457,33177.27051,35637.49725,38414.05748,41422.72905,45461.99868,46786.0276,39843.72733,40479.8395,42928.3319,44533.01967,45981.0962,47391.03026,49136.8824,51125.5965,53164.04752,55184.46328,57177.07078,59234.24232,61366.99743,63576.12281,65864.88628,68236.01592,70692.51403,73237.44418,75873.99236,78605.45608,81435.2525,84366.92139
Eastern Europe,Macedonia,300,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",,,,,,,,,,,,,,7984.416633,7734.489517,7224.013208,6682.212218,6561.932398,6489.751142,6567.628155,6656.356812,6881.408235,7180.611866,7506.539838,7166.86891,7228.002302,7431.831967,7775.702832,8114.091517,8519.471529,9039.159293,9491.117257,9403.798978,9676.038959,9946.96805,9907.180177,10195.48982,10427.28067,10741.01241,11150.99685,11595.25257,12063.00506,12551.3155,13056.3416,13583.41576,14131.89973,14702.05486,15295.74405,15913.46926,16556.17598,17225.07371,17921.11279,18645.41545,19399.16922
Eastern Europe,Poland,333,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",222343.895,234350.4654,243255.7831,228660.4361,205794.3925,195821.5962,206787.6056,206030.763,213987.671,221464.4003,226562.5107,234005.0892,242925.3632,225505.1854,209708.5472,213971.922,223144.8982,234835.4595,250635.1892,266174.5709,285072.9654,299326.6137,312796.3113,326246.5527,330178.7195,334944.6714,347897.1809,366491.3271,379747.4774,403396.1835,430767.5581,452851.2514,460224.9311,478057.349,499669.2373,509630.965,517530.3714,534351.513,552648.683,573236.5292,594499.8899,616480.5275,639294.5577,662947.3184,687476.6758,712913.232,739291.043,766644.8079,795010.6677,824426.0624,854929.8267,886562.2303,919365.0328,953381.5367
